id,name,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_dual_type
815,cinderace,14,330,265,fire,,80,116,75,65,75,119,530,0
816,sobble,3,40,62,water,,50,40,40,70,40,70,310,0
817,drizzile,7,115,147,water,,65,60,55,95,55,90,420,0
818,inteleon,19,452,265,water,,70,85,65,125,65,120,530,0
819,skwovet,3,25,55,normal,,70,55,55,35,35,25,275,0
820,greedent,6,60,161,normal,,120,95,95,55,75,20,460,0
821,rookidee,2,18,49,other,,38,47,35,33,35,57,245,0
822,corvisquire,8,160,128,other,,68,67,55,43,55,77,365,0
823,corviknight,22,750,248,other,steel,98,87,105,53,85,67,495,1
824,blipbug,4,80,36,bug,,25,20,20,25,45,45,180,0
825,dottler,4,195,117,bug,psychic,50,35,80,50,90,30,335,1
826,orbeetle,4,408,253,bug,psychic,60,45,110,80,120,90,505,1
827,nickit,6,89,49,dark,,40,28,28,47,52,50,245,0
828,thievul,12,199,159,dark,,70,58,58,87,92,90,455,0
829,gossifleur,4,22,50,grass,,40,40,60,40,60,10,250,0
830,eldegoss,5,25,161,grass,,60,50,90,80,120,60,460,0
831,wooloo,6,60,122,normal,,42,40,55,40,45,48,270,0
832,dubwool,13,430,172,normal,,72,80,100,60,90,88,490,0
833,chewtle,3,85,57,water,,50,64,50,38,38,44,284,0
834,drednaw,10,1155,170,water,rock,90,115,90,48,68,74,485,1
835,yamper,3,135,54,electric,,59,45,50,40,50,26,270,0
836,boltund,10,340,172,electric,,69,90,60,90,60,121,490,0
837,rolycoly,3,120,48,rock,,30,40,50,40,50,30,240,0
838,carkol,11,780,144,rock,fire,80,60,90,60,70,50,410,1
839,coalossal,28,3105,255,rock,fire,110,80,120,80,90,30,510,1
840,applin,2,5,52,grass,dragon,40,40,80,40,40,20,260,1
841,flapple,3,10,170,grass,dragon,70,110,80,95,60,70,485,1
842,appletun,4,130,170,grass,dragon,110,85,80,100,80,30,485,1
843,silicobra,22,76,63,ground,,52,57,75,35,50,46,315,0
844,sandaconda,38,655,179,ground,,72,107,125,65,70,71,510,0
845,cramorant,8,180,166,other,water,70,85,55,85,95,85,475,1
846,arrokuda,5,10,56,water,,41,63,40,40,30,66,280,0
847,barraskewda,13,300,172,water,,61,123,60,60,50,136,490,0
848,toxel,4,110,48,electric,poison,40,38,35,54,35,40,242,1
849,toxtricity-amped,16,400,176,electric,poison,75,98,70,114,70,75,502,1
850,sizzlipede,7,10,61,fire,bug,50,65,45,50,50,45,305,1
851,centiskorch,30,1200,184,fire,bug,100,115,65,90,90,65,525,1
852,clobbopus,6,40,62,fighting,,50,68,60,50,50,32,310,0
853,grapploct,16,390,168,fighting,,80,118,90,70,80,42,480,0
854,sinistea,1,2,62,ghost,,40,45,45,74,54,50,308,0
855,polteageist,2,4,178,ghost,,60,65,65,134,114,70,508,0
856,hatenna,4,34,53,psychic,,42,30,45,56,53,39,265,0
857,hattrem,6,48,130,psychic,,57,40,65,86,73,49,370,0
858,hatterene,21,51,255,psychic,fairy,57,90,95,136,103,29,510,1
859,impidimp,4,55,53,dark,fairy,45,45,30,55,40,50,265,1
860,morgrem,8,125,130,dark,fairy,65,60,45,75,55,70,370,1
861,grimmsnarl,15,610,255,dark,fairy,95,120,65,95,75,60,510,1
862,obstagoon,16,460,260,dark,normal,93,90,101,60,81,95,520,1
863,perrserker,8,280,154,steel,,70,110,100,50,60,50,440,0
864,cursola,10,4,179,ghost,,60,95,50,145,130,30,510,0
865,sirfetchd,8,1170,177,fighting,,62,135,95,68,82,65,507,0
866,mr-rime,15,582,182,ice,psychic,80,85,75,110,100,70,520,1
867,runerigus,16,666,169,ground,ghost,58,95,145,50,105,30,483,1
868,milcery,2,3,54,fairy,,45,40,40,50,61,34,270,0
869,alcremie,3,5,173,fairy,,65,60,75,110,121,64,495,0
870,falinks,30,620,165,fighting,,65,100,100,70,60,75,470,0
871,pincurchin,3,10,152,electric,,48,101,95,91,85,15,435,0
872,snom,3,38,37,ice,bug,30,25,35,45,30,20,185,1
873,frosmoth,13,420,166,ice,bug,70,65,60,125,90,65,475,1
874,stonjourner,25,5200,165,rock,,100,125,135,20,20,70,470,0
875,eiscue-ice,14,890,165,ice,,75,80,110,65,90,50,470,0
876,indeedee-male,9,280,166,psychic,normal,60,65,55,105,95,95,475,1
877,morpeko-full-belly,3,30,153,electric,dark,58,95,58,70,58,97,436,1
878,cufant,12,1000,66,steel,,72,80,49,40,49,40,330,0
879,copperajah,30,6500,175,steel,,122,130,69,80,69,30,500,0
880,dracozolt,18,1900,177,electric,dragon,90,100,90,80,70,75,505,1
881,arctozolt,23,1500,177,electric,ice,90,100,90,90,80,55,505,1
882,dracovish,23,2150,177,water,dragon,90,90,100,70,80,75,505,1
883,arctovish,20,1750,177,water,ice,90,90,100,80,90,55,505,1
884,duraludon,18,400,187,steel,dragon,70,95,115,120,50,85,535,1
885,dreepy,5,20,54,dragon,ghost,28,60,30,40,30,82,270,1
886,drakloak,14,110,144,dragon,ghost,68,80,50,60,50,102,410,1
887,dragapult,30,500,300,dragon,ghost,88,120,75,100,75,142,600,1
888,zacian,28,1100,335,fairy,,92,120,115,80,115,138,660,0
889,zamazenta,29,2100,335,fighting,,92,120,115,80,115,138,660,0
890,eternatus,200,9500,345,poison,dragon,140,85,95,145,95,130,690,1
891,kubfu,6,120,77,fighting,,60,90,60,53,50,72,385,0
892,urshifu-single-strike,19,1050,275,fighting,dark,100,130,100,63,60,97,550,1
893,zarude,18,700,300,dark,grass,105,120,105,70,95,105,600,1
894,regieleki,12,1450,290,electric,,80,100,50,100,50,200,580,0
895,regidrago,21,2000,290,dragon,,200,100,50,100,50,80,580,0
896,glastrier,22,8000,290,ice,,100,145,130,65,110,30,580,0
897,spectrier,20,445,290,ghost,,100,65,60,145,80,130,580,0
898,calyrex,11,77,250,psychic,grass,100,80,80,80,80,80,500,1
899,wyrdeer,18,951,263,normal,psychic,103,105,72,105,75,65,525,1
900,kleavor,18,890,175,bug,rock,70,135,95,45,70,85,500,1
901,ursaluna,24,2900,275,ground,normal,130,140,105,45,80,50,550,1
902,basculegion-male,30,1100,265,water,ghost,120,112,65,80,75,78,530,1
903,sneasler,13,430,102,fighting,poison,80,130,60,40,80,120,510,1
904,overqwil,25,605,179,dark,poison,85,115,95,65,65,85,510,1
905,enamorus-incarnate,16,480,116,fairy,flying,74,115,70,135,80,106,580,1
906,sprigatito,4,41,62,grass,,40,61,54,45,45,65,310,0
907,floragato,9,122,144,grass,,61,80,63,60,63,83,410,0
908,meowscarada,15,312,265,grass,dark,76,110,70,81,70,123,530,1
909,fuecoco,4,98,62,fire,,67,45,59,63,40,36,310,0
910,crocalor,10,307,144,fire,,81,55,78,90,58,49,411,0
911,skeledirge,16,3265,265,fire,ghost,104,75,100,110,75,66,530,1
912,quaxly,5,61,62,water,,55,65,45,50,45,50,310,0
913,quaxwell,12,215,144,water,,70,85,65,65,60,65,410,0
914,quaquaval,18,619,265,water,fighting,85,120,80,85,75,85,530,1
915,lechonk,5,102,51,normal,,54,45,40,35,45,35,254,0
916,oinkologne-male,10,1200,171,normal,,110,100,75,59,80,65,489,0
917,tarountula,3,40,42,bug,,35,41,45,29,40,20,210,0
918,spidops,10,165,141,bug,,60,79,92,52,86,35,404,0
919,nymble,2,10,42,bug,,33,46,40,21,25,45,210,0
920,lokix,10,175,158,bug,dark,71,102,78,52,55,92,450,1
921,pawmi,3,25,48,electric,,45,50,20,40,25,60,240,0
922,pawmo,4,65,123,electric,fighting,60,75,40,50,40,85,350,1
923,pawmot,9,410,245,electric,fighting,70,115,70,70,60,105,490,1
924,tandemaus,3,18,61,normal,,50,50,45,40,45,75,305,0
925,maushold-family-of-four,3,28,165,normal,,74,75,70,65,75,111,470,0
926,fidough,3,109,62,fairy,,37,55,70,30,55,65,312,0
927,dachsbun,5,149,167,fairy,,57,80,115,50,80,95,477,0
928,smoliv,3,65,52,grass,normal,41,35,45,58,51,30,260,1
929,dolliv,6,119,124,grass,normal,52,53,60,78,78,33,354,1
930,arboliva,14,482,255,grass,normal,78,69,90,125,109,39,510,1
931,squawkabilly-green-plumage,6,24,146,normal,flying,82,96,51,45,51,92,417,1
932,nacli,4,160,56,rock,,55,55,75,35,35,25,280,0
933,naclstack,6,1050,124,rock,,60,60,100,35,65,35,355,0
934,garganacl,23,2400,250,rock,,100,100,130,45,90,35,500,0
935,charcadet,6,105,51,fire,,40,50,40,50,40,35,255,0
936,armarouge,15,850,263,fire,psychic,85,60,100,125,80,75,525,1
937,ceruledge,16,620,263,fire,ghost,75,125,80,60,100,85,525,1
938,tadbulb,3,4,54,electric,,61,31,41,59,35,45,272,0
939,bellibolt,12,1130,173,electric,,109,64,91,103,83,45,495,0
940,wattrel,4,36,56,electric,flying,40,40,35,55,40,70,280,1
941,kilowattrel,14,386,172,electric,flying,70,70,60,105,60,125,490,1
942,maschiff,5,160,68,dark,,60,78,60,40,51,51,340,0
943,mabosstiff,11,610,177,dark,,80,120,90,60,70,85,505,0
944,shroodle,2,7,58,poison,normal,40,65,35,40,35,75,290,1
945,grafaiai,7,272,170,poison,normal,63,95,65,80,72,110,485,1
946,bramblin,6,6,55,grass,ghost,40,65,30,45,35,60,275,1
947,brambleghast,12,60,168,grass,ghost,55,115,70,80,70,90,480,1
948,toedscool,9,330,67,ground,grass,40,40,35,50,100,70,335,1
949,toedscruel,19,580,180,ground,grass,80,70,65,80,120,100,515,1
950,klawf,13,790,158,rock,,70,100,115,35,55,75,450,0
951,capsakid,3,30,61,grass,,50,62,40,62,40,50,304,0
952,scovillain,9,150,170,grass,fire,65,108,65,108,65,75,486,1
953,rellor,2,10,54,bug,,41,50,60,31,58,30,270,0
954,rabsca,3,35,165,bug,psychic,75,50,85,115,100,45,470,1
955,flittle,2,15,51,psychic,,30,35,30,55,30,75,255,0
956,espathra,19,900,168,psychic,,95,60,60,101,60,105,481,0
957,tinkatink,4,89,59,fairy,steel,50,45,45,35,64,58,297,1
958,tinkatuff,7,591,133,fairy,steel,65,55,55,45,82,78,380,1
959,tinkaton,7,1128,253,fairy,steel,85,75,77,70,105,94,506,1
960,wiglett,12,18,49,water,,10,55,25,35,25,95,245,0
961,wugtrio,12,54,149,water,,35,100,50,50,70,120,425,0
962,bombirdier,15,429,243,other,dark,70,103,85,60,85,82,485,1
963,finizen,13,602,63,water,,70,45,40,45,40,75,315,0
964,palafin-zero,13,602,160,water,,100,70,72,53,62,100,457,0
965,varoom,10,350,60,steel,poison,45,70,63,30,45,47,300,1
966,revavroom,18,1200,175,steel,poison,80,119,90,54,67,90,500,1
967,cyclizar,16,630,175,dragon,normal,70,95,65,85,65,121,501,1
968,orthworm,25,3100,240,steel,,70,85,145,60,55,65,480,0
969,glimmet,7,80,70,rock,poison,48,35,42,105,60,60,350,1
970,glimmora,15,450,184,rock,poison,83,55,90,130,81,86,525,1
971,greavard,6,350,58,ghost,,50,61,60,30,55,34,290,0
972,houndstone,20,150,171,ghost,,72,101,100,50,97,68,488,0
973,flamigo,16,370,175,other,fighting,82,115,74,75,64,90,500,1
974,cetoddle,12,450,67,ice,,108,68,45,30,40,43,334,0
975,cetitan,45,7000,182,ice,,170,113,65,45,55,73,521,0
976,veluza,25,900,167,water,psychic,90,102,73,78,65,70,478,1
977,dondozo,120,2200,265,water,,150,100,115,65,65,35,530,0
978,tatsugiri-curly,3,80,166,dragon,water,68,50,60,120,95,82,475,1
979,annihilape,12,560,268,fighting,ghost,110,115,80,50,90,90,535,1
980,clodsire,18,2230,151,poison,ground,130,75,60,45,100,20,430,1
981,farigiraf,32,1600,260,normal,psychic,120,90,70,110,70,60,520,1
982,dudunsparce-two-segment,36,392,182,normal,,125,100,80,85,75,55,520,0
983,kingambit,20,1200,275,dark,steel,100,135,120,60,85,50,550,1
984,great-tusk,22,3200,285,ground,fighting,115,131,131,53,53,87,570,1
985,scream-tail,12,80,285,fairy,psychic,115,65,99,65,115,111,570,1
986,brute-bonnet,12,210,285,grass,dark,111,127,99,79,99,55,570,1
987,flutter-mane,14,40,285,ghost,fairy,55,55,55,135,135,135,570,1
988,slither-wing,32,920,285,bug,fighting,85,135,79,85,105,81,570,1
989,sandy-shocks,23,600,285,electric,ground,85,81,97,121,85,101,570,1
990,iron-treads,9,2400,285,ground,steel,90,112,120,72,70,106,570,1
991,iron-bundle,6,110,285,ice,water,56,80,114,124,60,136,570,1
992,iron-hands,18,3807,285,fighting,electric,154,140,108,50,68,50,570,1
993,iron-jugulis,13,1110,285,dark,flying,94,80,86,122,80,108,570,1
994,iron-moth,12,360,285,fire,poison,80,70,60,140,110,110,570,1
995,iron-thorns,16,3030,285,rock,electric,100,134,110,70,84,72,570,1
996,frigibax,5,170,64,dragon,ice,65,75,45,35,45,55,320,1
997,arctibax,8,300,148,dragon,ice,90,95,66,45,65,62,423,1
998,baxcalibur,21,2100,300,dragon,ice,115,145,92,75,86,87,600,1
999,gimmighoul,3,50,60,ghost,,45,30,70,75,70,10,300,0
1000,gholdengo,12,300,275,steel,ghost,87,60,95,133,91,84,550,1
